Year,Month,Mass_shooting,Media_output_on_firearm_laws_and_regulations,Media_output_on_shootings,Background_checks
1999,1,0,11,33,501504
1999,2,0,11,43,593737
1999,3,0,19,27,626895
1999,4,1,45,57,537289
1999,5,0,91,33,479617
1999,6,0,92,26,475999
1999,7,1,38,32,498236
1999,8,0,31,34,600820
1999,9,1,21,22,701087
1999,10,0,29,19,825606
1999,11,1,17,28,887231
1999,12,1,18,28,1124479
2000,1,0,16,17,516006
2000,2,0,16,18,581939
2000,3,0,91,28,596198
2000,4,0,28,25,495871
2000,5,0,73,30,418153
2000,6,0,19,32,429446
2000,7,0,12,24,430561
2000,8,0,12,27,555574
2000,9,0,12,29,661337
2000,10,0,10,19,713067
2000,11,0,11,21,776158
2000,12,1,8,14,887714
2001,1,0,10,31,509570
2001,2,1,10,50,545828
2001,3,0,16,41,580956
2001,4,0,8,10,470008
2001,5,0,12,17,423112
2001,6,0,6,9,424573
2001,7,0,15,25,416256
2001,8,0,6,19,578126
2001,9,0,2,12,740688
2001,10,0,8,11,864117
2001,11,0,7,25,770509
2001,12,0,6,33,876389
2002,1,0,5,38,471708
2002,2,0,6,20,500940
2002,3,0,5,16,533815
2002,4,0,8,18,450657
2002,5,0,19,29,394621
2002,6,0,9,17,366609
2002,7,0,8,18,379757
2002,8,0,4,31,520374
2002,9,0,6,27,555199
2002,10,0,38,313,653771
2002,11,0,5,77,699838
2002,12,0,5,36,811708
2003,1,0,11,32,464955
2003,2,0,6,18,514513
2003,3,0,3,24,545081
2003,4,0,12,46,440986
2003,5,0,12,43,396409
2003,6,0,3,20,367959
2003,7,1,8,43,371461
2003,8,0,6,43,502396
2003,9,0,7,34,553762
2003,10,0,8,32,654031
2003,11,0,8,56,674229
2003,12,0,9,47,839287
2004,1,0,7,40,504575
2004,2,0,15,36,538449
2004,3,0,12,30,549539
2004,4,0,5,23,467777
2004,5,0,3,34,390514
2004,6,0,3,29,385175
2004,7,0,16,37,407380
2004,8,0,3,21,497115
2004,9,0,31,28,570421
2004,10,0,9,27,681931
2004,11,0,4,44,708153
2004,12,1,4,27,890098
2005,1,0,5,24,499713
2005,2,0,4,23,560293
2005,3,2,4,51,578960
2005,4,0,10,27,501739
2005,5,0,4,40,411443
2005,6,0,4,45,404118
2005,7,0,7,49,412679
2005,8,0,4,36,514354
2005,9,0,0,32,612021
2005,10,0,9,29,683260
2005,11,0,6,38,754658
2005,12,0,7,45,993258
2006,1,1,7,32,589492
2006,2,0,1,42,626470
2006,3,1,4,30,654681
2006,4,0,8,28,527939
2006,5,0,6,61,452766
2006,6,0,4,30,447017
2006,7,0,4,41,434232
2006,8,0,6,40,553033
2006,9,0,5,47,638588
2006,10,1,8,36,682805
2006,11,0,2,43,766615
2006,12,0,1,33,977980
2007,1,0,9,44,587736
2007,2,1,2,36,619508
2007,3,0,22,59,666899
2007,4,1,34,150,552302
2007,5,0,25,41,507877
2007,6,0,9,30,509787
2007,7,0,11,51,485926
2007,8,0,6,43,598667
2007,9,0,10,53,617654
2007,10,1,7,56,684403
2007,11,0,17,33,753509
2007,12,1,11,39,937332
2008,1,0,23,21,603702
2008,2,2,12,36,674400
2008,3,0,26,33,689594
2008,4,0,7,47,587269
2008,5,0,7,29,546334
2008,6,1,44,35,497234
2008,7,0,34,31,509206
2008,8,0,8,35,606976
2008,9,0,31,43,625270
2008,10,0,13,31,784995
2008,11,0,7,57,1154285
2008,12,0,18,39,1139402
2009,1,0,11,38,793944
2009,2,0,25,28,847985
2009,3,1,34,44,900804
2009,4,1,33,29,776552
2009,5,0,16,20,620298
2009,6,0,26,43,561077
2009,7,0,20,31,555456
2009,8,0,17,34,639249
2009,9,0,9,10,670196
2009,10,0,16,24,773096
2009,11,2,6,73,801803
2009,12,0,15,29,977548
2010,1,0,31,24,659283
2010,2,0,12,22,770961
2010,3,0,28,29,811025
2010,4,0,29,38,682761
2010,5,0,13,24,581124
2010,6,0,20,38,554121
2010,7,0,12,15,572988
2010,8,1,11,36,664643
2010,9,0,5,28,707288
2010,10,0,21,31,785087
2010,11,0,12,22,877833
2010,12,0,22,23,1077265
2011,1,1,74,135,727431
2011,2,0,16,33,875421
2011,3,0,12,51,931658
2011,4,0,23,43,789407
2011,5,0,7,15,648209
2011,6,0,14,27,624970
2011,7,0,16,23,623345
2011,8,0,11,28,753877
2011,9,1,8,25,804375
2011,10,1,14,29,873275
2011,11,0,17,27,1027020
2011,12,0,8,22,1345477
2012,1,0,11,23,858185
2012,2,1,15,23,1158393
2012,3,0,23,62,1121258
2012,4,1,23,54,877950
2012,5,1,9,27,782730
2012,6,0,13,29,781537
2012,7,1,49,63,794015
2012,8,1,28,70,965671
2012,9,1,11,45,938278
2012,10,0,30,52,1038050
2012,11,0,23,36,1439559
2012,12,1,530,104,2169329
2013,1,0,1175,128,1724957
2013,2,0,1134,286,1526544
2013,3,1,480,85,1430450
2013,4,1,467,46,1125962
2013,5,0,199,55,912114
2013,6,1,103,61,813548
2013,7,1,89,63,793144
2013,8,0,58,63,954007
2013,9,1,105,132,965074
2013,10,0,59,45,1031533
2013,11,0,39,73,1224851
2013,12,0,54,53,1449192
2014,1,0,70,63,906449
2014,2,1,66,46,1152287
2014,3,0,43,59,1156690
2014,4,1,45,119,928799
2014,5,1,99,57,812831
2014,6,0,56,53,746169
2014,7,0,84,42,751655
2014,8,0,85,161,912793
2014,9,0,55,114,950295
2014,10,1,80,109,1088248
2014,11,0,32,114,1254556
2014,12,0,38,127,1556910
2015,1,0,48,101,983052
2015,2,0,32,80,1179057
2015,3,0,25,97,1123227
2015,4,0,27,88,926866
2015,5,1,20,83,856682
2015,6,1,64,109,823359
2015,7,1,40,94,876155
2015,8,0,54,126,963607
2015,9,0,28,62,995591
2015,10,2,198,121,1121924
2015,11,1,66,77,1356369
2015,12,1,148,119,2160401
2016,1,0,140,83,1300755
2016,2,2,107,80,1379385
2016,3,0,76,90,1220048
2016,4,0,60,98,1045480
2016,5,0,36,59,870341
2016,6,1,78,51,1075053
2016,7,2,44,112,1142243
2016,8,0,20,41,1142528
2016,9,1,42,79,1078884
2016,10,0,35,67,1287366
2016,11,0,22,37,1583032
2016,12,0,19,31,1773778
2017,1,1,31,40,974669
2017,2,0,38,28,1198208
2017,3,0,27,39,1272405
2017,4,1,36,28,1049684
2017,5,1,18,50,924659
2017,6,3,51,61,945240
2017,7,0,26,74,843384
2017,8,0,24,35,948561
2017,9,0,23,35,938950
2017,10,2,114,57,1055015
2017,11,3,77,55,1376592
2017,12,0,45,35,1548726